Country,GHG_Emissions
Kazakhstan                                                  ,17.0561677
Kenya                                                       ,1.93462647
Kyrgyzstan                                                  ,3.62086821
Cambodia                                                    ,2.68466327
Kiribati                                                    ,0.97129524
St.Kitts and Nevis                                          ,2.8240024
Republic of Korea                                           ,14.6636998
Kuwait                                                      ,35.2293461
Lao People's Democratic Republic                            ,5.00544341
Lebanon                                                     ,5.69271881
Liberia                                                     ,0.95804534
Libya                                                       ,14.1218679
St.Lucia                                                    ,1.92639801
Sri Lanka                                                   ,1.98292135
Lesotho                                                     ,1.28274306
Lithuania                                                   ,7.92105459
Luxembourg                                                  ,17.6938421
Latvia                                                      ,6.41116225
Macao                                                       ,4.2225209
Morocco                                                     ,2.88551897
Moldova                                                     ,3.11057622
Madagascar                                                  ,1.26354572
Maldives                                                    ,5.33214373
Mexico                                                      ,5.97141719
North Macedonia                                             ,4.96558043
Mali                                                        ,2.25734169
Malta                                                       ,4.69860794
Myanmar                                                     ,2.97271222
Mongolia                                                    ,21.1198192
Mozambique                                                  ,1.26741718
Mauritania                                                  ,3.32306939
Martinique                                                  ,2.73336018
Mauritius                                                   ,4.76653168
Malawi                                                      ,0.91575459
Malaysia                                                    ,10.1838052
Namibia                                                     ,4.81226667
New Caledonia                                               ,24.2608721
Niger                                                       ,1.62201751
Nigeria                                                     ,2.14155763
Nicaragua                                                   ,3.11443631
Netherlands                                                 ,11.6961634
Norway                                                      ,13.5805586
Nepal                                                       ,1.86862953
New Zealand                                                 ,18.4680211
Oman                                                        ,26.0873286
Pakistan                                                    ,2.5424496
Panama                                                      ,4.01297107
Peru                                                        ,2.96988757
Philippines                                                 ,2.30989591
Palau                                                       ,58.5977342
Papua New Guinea                                            ,1.40080394
Poland                                                      ,10.789081
Puerto Rico                                                 ,4.42818263
North Korea                                                 ,3.06693775
Portugal                                                    ,6.63630268
Paraguay                                                    ,6.20836982
French Polynesia                                            ,4.27881379
Qatar                                                       ,70.7433594
R��union                                                ,3.46637521
Romania                                                     ,6.24560548
Russian Federation                                          ,16.976252
Rwanda                                                      ,0.6743442
Saudi Arabia                                                ,22.6043047
Serbia and Montenegro                                       ,7.4948002
Sudan and South Sudan                                       ,2.6679499
Senegal                                                     ,1.63555414
Singapore                                                   ,11.8315444
"Saint Helena, Ascension and Tristan da Cunha                ",4.8014976
Solomon Islands                                             ,0.97899931
Sierra Leone                                                ,1.02623764
El Salvador                                                 ,1.89547185
Somalia                                                     ,2.06056413
St.Pierre and Miquelon                                      ,7.67076389
S��o Tom�� and Pr��ncipe                        ,1.12869046
Suriname                                                    ,5.82603006
Slovakia                                                    ,8.58495876
Slovenia                                                    ,9.5818605
Sweden                                                      ,6.34652844
Eswatini                                                    ,2.24006482
Seychelles                                                  ,11.3007141
Syria                                                       ,2.51063038
Turks and Caicos Islands                                    ,2.92665171
Chad                                                        ,4.83622571
Togo                                                        ,1.17979148
Thailand                                                    ,6.45087589
Tajikistan                                                  ,2.16773855
Turkmenistan                                                ,21.0982931
Timor-Leste                                                 ,2.38260209
Tonga                                                       ,2.51391929
Trinidad and Tobago                                         ,37.323667
Tunisia                                                     ,3.75266881
Turkey                                                      ,7.37163207
Taiwan                                                      ,13.4186701
Tanzania                                                    ,1.33996613
Uganda                                                      ,1.11633913
Ukraine                                                     ,6.69756702
Uruguay                                                     ,11.7381208
United States                                               ,19.2421754
Uzbekistan                                                  ,6.58637388
St.Vincent and the Grenadines                               ,1.55919332
Venezuela                                                   ,6.7049509
British Virgin Islands                                      ,3.04298468
Viet Nam                                                    ,4.57982077
Vanuatu                                                     ,2.4564378
Samoa                                                       ,2.98782252
Yemen                                                       ,1.2053589
South Africa                                                ,10.5541004
Zambia                                                      ,1.61406963
Zimbabwe                                                    ,1.84904464
Aruba                                                       ,4.75136563
Afghanistan                                                 ,0.86436883
Angola                                                      ,2.54160095
Anguilla                                                    ,2.23535798
Albania                                                     ,3.14527556
Cura��ao                                                ,20.9147387
United Arab Emirates                                        ,26.5644221
Argentina                                                   ,8.46500989
Armenia                                                     ,2.99410926
Antigua and Barbuda                                         ,3.64168024
Australia                                                   ,24.1307983
Austria                                                     ,9.46631178
Azerbaijan                                                  ,5.96444407
Burundi                                                     ,0.67041513
Belgium                                                     ,10.8622928
Benin                                                       ,1.5793592
Burkina Faso                                                ,1.64780007
Bangladesh                                                  ,1.67643832
Bulgaria                                                    ,8.82469951
Bahrain                                                     ,40.3992101
Bahamas                                                     ,4.88387613
Bosnia and Herzegovina                                      ,9.13352134
Belarus                                                     ,11.0788873
Belize                                                      ,2.37742135
Bermuda                                                     ,5.66530081
Bolivia                                                     ,5.07298044
Brazil                                                      ,6.04618979
Barbados                                                    ,3.35051081
Brunei Darussalam                                           ,32.8374751
Bhutan                                                      ,3.92588755
Botswana                                                    ,5.60798238
Central African Republic                                    ,2.6578787
Canada                                                      ,21.3145076
Switzerland and Liechtenstein                               ,5.60747735
Chile                                                       ,7.16942678
China                                                       ,10.1032559
C��te d'Ivoire                                          ,1.27167133
Cameroon                                                    ,1.69242112
Democratic Republic of the Congo                            ,0.66498821
Congo                                                       ,4.92220915
Cook Islands                                                ,7.50886889
Colombia                                                    ,4.08081452
Comoros                                                     ,0.97339027
Cabo Verde                                                  ,2.03127803
Costa Rica                                                  ,3.34903507
Cuba                                                        ,4.16868575
Cayman Islands                                              ,4.84181457
Cyprus                                                      ,7.94385725
Czech Republic                                              ,12.3980711
Germany                                                     ,10.5061177
Djibouti                                                    ,2.15250477
Dominica                                                    ,2.04399582
Denmark                                                     ,8.68524456
Dominican Republic                                          ,3.92270822
Algeria                                                     ,6.54042776
Ecuador                                                     ,4.22856429
Egypt                                                       ,3.84844798
Eritrea                                                     ,1.28405257
Western Sahara                                              ,0.81423007
Spain and Andorra                                           ,7.54806226
Estonia                                                     ,20.3720455
Ethiopia                                                    ,1.49178496
Finland                                                     ,12.2703757
Fiji                                                        ,3.28806121
Falkland Islands                                            ,7.30775634
France and Monaco                                           ,6.99171923
Faroes                                                      ,1.02672751
Gabon                                                       ,8.95788964
United Kingdom                                              ,6.96953775
Georgia                                                     ,4.32473785
Ghana                                                       ,1.47466766
Gibraltar                                                   ,20.6842533
Guinea                                                      ,2.00100696
Guadeloupe                                                  ,2.66739685
Gambia                                                      ,0.97092207
Guinea-Bissau                                               ,1.57762308
Equatorial Guinea                                           ,10.9570203
Greece                                                      ,7.82604102
Grenada                                                     ,1.83146862
Greenland                                                   ,10.333222
Guatemala                                                   ,2.40767005
French Guiana                                               ,1.95381074
Guyana                                                      ,7.7481889
Hong Kong                                                   ,6.796463
Honduras                                                    ,2.26703025
Croatia                                                     ,6.06012462
Haiti                                                       ,1.32936899
Hungary                                                     ,7.38232082
Indonesia                                                   ,4.15916432
India                                                       ,2.77287998
Ireland                                                     ,13.2434631
Iran (Islamic Republic of)                                  ,11.5938077
Iraq                                                        ,8.82877597
Iceland                                                     ,13.4308855
"Israel and Palestine, State of                              ",6.24969442
"Italy, San Marino and the Holy See                          ",7.04275645
Jamaica                                                     ,3.56288963
Jordan                                                      ,3.50969898
Japan                                                       ,9.95393652
